     1	15만자
     1	1975년
     1	1997-99
     2	1999
     1	1천여명
     1	20
     3	2000
     1	24
     1	24일
     1	2만7천자
     1	2만7천자의
     1	32
     1	32만
     1	350
     1	550달러
     1	550달러이다
     2	6
     1	60만원선
     1	7일
     1	8
     1	All
     1	Board
     1	Copyright
     3	DB
     1	DB를연동
     1	DB분석기능
     1	DB용프로그램
     1	DNS
     1	Dash
     1	Digital
     1	Knowledge
     6	MS
     1	MS사장
     2	PC
     1	PC플러스
     1	PC플러스시대
     1	Reserved
     1	Rights
     1	SW
     1	Worker
     1	가격
     1	가로란
     1	가장
     1	가정
     1	각
     2	각종
     2	강조
     1	개발
     1	개선
     3	것
     1	게이츠회장
     1	결합
     1	계속
     2	고
     1	공간장벽
     1	공간적
     2	구성
     1	그
     1	그대
     1	그래픽프로그램
     2	극대
     2	극대화
     1	근간
     1	기념식
     6	기능
     1	기능을필요
     1	기능을필요로
     2	기업
     1	기조연설
     3	기존
     1	꿈
     2	네가지
     1	네가지로
     1	뉴스네이버
     1	뉴스통합검색
     1	대시보드
     1	데이터
     2	데이터베이스
     1	되
     2	들
     5	등
     1	디지털
     3	디지털대시보드
     1	디지털신경체계
     1	때
     1	때문
     1	마이크로소프트
     1	마찬가지
     5	메뉴
     2	모
     1	무한
     1	무한대
     1	문서
     1	문서파일
     2	미
     1	미국
     1	발머
     1	배열함으로써마치
     1	백미로평가
     5	버전
     1	보
     1	보관
     1	보급
     1	볼수
     1	분석할수
     1	비전
     3	사무
     2	사무실
     3	사무용
     3	사용
     1	삭제
     1	샌프란시스코
     1	생산관리
     1	생산성
     1	선언
     1	설명
     1	세로란
     1	세부항목
     1	소
     6	수
     1	스몰비즈니스
     1	스탠더드
     1	스티브
     1	시간
     1	시간적
     1	시내
     1	시대
     1	시판
     1	실수
     1	아무곳
     4	아웃룩
     1	액세스
     1	언론
     1	언론인
     4	업무
     1	업무공간
     1	업무수단
     1	업무용
     4	엑셀
     1	엔터테인먼트센터
     1	여기
     1	연동
     1	연동기능
     1	영문판
     1	예정
     1	오
     5	오피스
     5	오피스2000
     1	오피스2000출시
     1	오후
     4	워드
     1	웹
     1	웹서버
     3	이
     2	이날
     1	이번
     1	이어
     1	이용
     1	이제
     1	인
     6	인터넷
     1	인터넷문서
     1	일본
     1	일정관리프로그램
     1	있도록
     2	자동
     1	자신
     1	작업중
     1	작업판
     1	장소
     1	재무
     1	전문가
     1	전세계
     2	전자우편
     1	전자출판
     1	접속
     1	정보
     1	제공
     1	제약
     1	제작
     1	제작용
     1	제한
     1	종류
     1	중국
     2	중소기업
     1	지식근로자
     1	지식근로자의
     3	지식노동자
     1	지향
     1	진입
     1	창업당시
     2	책상
     1	초보자
     1	초청
     1	최근
     3	최대
     2	최대한
     2	추가
     5	출시
     1	캘리포니아주
     3	컴퓨터
     1	컴퓨터분석가
     1	컴퓨터화면
     1	통합
     1	통합사무
     1	툴
     1	특정프로그램
     1	특징
     3	파워포인트
     1	파일
     1	판매
     1	퍼블리셔
     1	편리
     1	편리성
     1	포토드로우를추가
     1	표현가능
     2	프로그램
     1	프로페셔널
     1	프로페셔널버전
     1	프론트페이지
     1	프리미엄버전
     2	필요
     2	하
     1	한
     2	한국
     1	한글
     1	한글오피스2000
     1	한글처리기술
     1	한글판
     1	한자
     1	한편
     1	해소
     1	핵심
     1	핵심수단
     1	현실화
     1	현재
     1	현지시각
     1	홈페이지
     1	화면
     2	확장
     1	환경
     1	환경속
     1	활용
     1	회계
     1	日
     1	火
